"","title","employ22","employ32","med_wage","entry_educ","onjob_training"
"516","Middle school teachers, except special and career/technical education",625.5,630.6,61810,"Bachelor's degree","None"
"517","Milling and planing machine setters, operators, and tenders, metal and plastic",15.7,13.5,46870,"High school diploma or equivalent","Moderate-term on-the-job training"
"518","Millwrights",42.1,43.4,60930,"High school diploma or equivalent","Apprenticeship"
"519","Mining and geological engineers, including mining safety engineers",7.5,7.6,97490,"Bachelor's degree","None"
"520","Miscellaneous assemblers and fabricators",1500.4,1388.6,37280,"High school diploma or equivalent","Moderate-term on-the-job training"
"521","Miscellaneous construction and related workers",32.3,33,44890,"High school diploma or equivalent","Moderate-term on-the-job training"
"522","Mixing and blending machine setters, operators, and tenders",114,115.8,43410,"High school diploma or equivalent","Moderate-term on-the-job training"
"523","Mobile heavy equipment mechanics, except engines",169.1,177.6,59440,"High school diploma or equivalent","Long-term on-the-job training"
"524","Model makers, metal and plastic",3.4,2.8,57620,"High school diploma or equivalent","Moderate-term on-the-job training"
"525","Model makers, wood",1.1,1,46940,"High school diploma or equivalent","Moderate-term on-the-job training"
"526","Models",2.2,2.2,43130,"No formal educational credential","None"
"527","Molders, shapers, and casters, except metal and plastic",44.7,45.8,39590,"High school diploma or equivalent","Long-term on-the-job training"
"528","Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",167.9,161.7,37050,"High school diploma or equivalent","Moderate-term on-the-job training"
"529","Morticians, undertakers, and funeral arrangers",24.5,25.4,51570,"Associate's degree","Long-term on-the-job training"
"530","Motion picture projectionists",2.1,1.9,33360,"No formal educational credential","Short-term on-the-job training"
"531","Motor vehicle operators, all other",68.3,73.7,33210,"No formal educational credential","Short-term on-the-job training"
"532","Motorboat mechanics and service technicians",29.3,31,48280,"High school diploma or equivalent","Long-term on-the-job training"
"533","Motorboat operators",3.6,3.7,41430,"Postsecondary nondegree award","None"
"534","Motorcycle mechanics",17.1,17.4,43370,"Postsecondary nondegree award","Short-term on-the-job training"
"535","Multiple machine tool setters, operators, and tenders, metal and plastic",139.9,140.7,39210,"High school diploma or equivalent","Moderate-term on-the-job training"
"536","Museum technicians and conservators",14.4,15.9,47270,"Bachelor's degree","None"
"537","Music directors and composers",51.8,52.4,62940,"Bachelor's degree","None"
"538","Musical instrument repairers and tuners",7,6.3,38150,"High school diploma or equivalent","Apprenticeship"
"539","Musicians and singers",173.5,175.6,NA,"No formal educational credential","Long-term on-the-job training"
"540","Natural sciences managers",86.3,90.5,144440,"Bachelor's degree","None"
"541","Network and computer systems administrators",339.9,348.2,90520,"Bachelor's degree","None"
"542","Neurologists",12.2,12.5,224260,"Doctoral or professional degree","Internship/residency"
"543","New accounts clerks",46.6,39.8,40820,"High school diploma or equivalent","Moderate-term on-the-job training"
"544","News analysts, reporters, and journalists",58.5,56.6,55960,"Bachelor's degree","None"
"545","Nuclear engineers",13.8,13.9,122480,"Bachelor's degree","None"
"546","Nuclear medicine technologists",18.1,18.2,85300,"Associate's degree","None"
"547","Nuclear power reactor operators",5.5,5.3,115870,"High school diploma or equivalent","Long-term on-the-job training"
"548","Nuclear technicians",5.9,5.8,100420,"Associate's degree","Moderate-term on-the-job training"
"549","Nurse anesthetists",49.4,53.8,203090,"Master's degree","None"
"550","Nurse midwives",8.2,8.7,120880,"Master's degree","None"
"551","Nurse practitioners",266.3,384.9,121610,"Master's degree","None"
"552","Nursing assistants",1361.3,1417.8,35760,"Postsecondary nondegree award","None"
"553","Nursing instructors and teachers, postsecondary",85.9,101.5,78580,"Doctoral or professional degree","None"
"554","Obstetricians and gynecologists",22.9,23.4,239200,"Doctoral or professional degree","Internship/residency"
"555","Occupational health and safety specialists",113.8,128.9,78570,"Bachelor's degree","None"
"556","Occupational health and safety technicians",24.7,27.2,57970,"High school diploma or equivalent","Moderate-term on-the-job training"
"557","Occupational therapists",139.6,155.6,93180,"Master's degree","None"
"558","Occupational therapy aides",3.8,4,37060,"High school diploma or equivalent","Short-term on-the-job training"
"559","Occupational therapy assistants",45.1,56,64250,"Associate's degree","None"
"560","Office and administrative support workers, all other",215.1,197.3,38660,"High school diploma or equivalent","Short-term on-the-job training"
